Species,SpAbrev,ParentAccession #,Collection Location,MaternalLine,Treatment,TreatNotes,Replicate#,dLabel,Seeds/Dish,Substrate,PreTreatment,StartTemp,StratifLength,StartDate,Year,StartPhotoperiod,Temp2,Temp2Date,Temp2Photo,Germ,Unvia,tGrm,tUnv,dChk,PropGerm,PropInv
Marshallia mohrii,Mar-moh,2014-1974-33,Beulah Place (Harvested from plants that were grown from 2015 Germination Expt),NA - bulk ,35/20L,"dishes given 3.5mL of diH20, then wrapped in parafilm",1,d-26,20,Blue Germination Paper,NA,35/20,0 Weeks,7/14/2017,2017,Light-12/12,NA,NA,NA,2,0,3,0,17,0.15,0
Marshallia mohrii,Mar-moh,2014-1974-33,Beulah Place (Harvested from plants that were grown from 2015 Germination Expt),NA - bulk ,35/20L,"dishes given 3.5mL of diH20, then wrapped in parafilm",2,d-27,20,Blue Germination Paper,NA,35/20,0 Weeks,7/14/2017,2017,Light-12/12,NA,NA,NA,1,0,4,1,15,0.2,0.05
Marshallia mohrii,Mar-moh,2014-1974-33,Beulah Place (Harvested from plants that were grown from 2015 Germination Expt),NA - bulk ,35/20L,"dishes given 3.5mL of diH20, then wrapped in parafilm",3,d-28,20,Blue Germination Paper,NA,35/20,0 Weeks,7/14/2017,2017,Light-12/12,NA,NA,NA,2,0,3,1,16,0.15,0.05
Marshallia mohrii,Mar-moh,2014-1974-33,Beulah Place (Harvested from plants that were grown from 2015 Germination Expt),NA - bulk ,35/20L,"dishes given 3.5mL of diH20, then wrapped in parafilm",4,d-29,20,Blue Germination Paper,NA,35/20,0 Weeks,7/14/2017,2017,Light-12/12,NA,NA,NA,0,0,0,1,19,0,0.05
Marshallia mohrii,Mar-moh,2014-1974-33,Beulah Place (Harvested from plants that were grown from 2015 Germination Expt),NA - bulk ,35/20L,"dishes given 3.5mL of diH20, then wrapped in parafilm",5,d-30,20,Blue Germination Paper,NA,35/20,0 Weeks,7/14/2017,2017,Light-12/12,NA,NA,NA,0,0,1,0,19,0.05,0
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,15/6L,"dishes given 3.5mL of diH20, then wrapped in parafilm",1,d-031,20,Blue Germination Paper,NA,15/6,0 Weeks,12/30/2014,2015,Light-12/12,NA,NA,NA,2,0,6,2,12,0.3,0.1
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,15/6L,"dishes given 3.5mL of diH20, then wrapped in parafilm",2,d-032,20,Blue Germination Paper,NA,15/6,0 Weeks,12/30/2014,2015,Light-12/12,NA,NA,NA,5,0,7,2,11,0.35,0.1
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,15/6L,"dishes given 3.5mL of diH20, then wrapped in parafilm",3,d-033,20,Blue Germination Paper,NA,15/6,0 Weeks,12/30/2014,2015,Light-12/12,NA,NA,NA,1,0,3,1,16,0.15,0.05
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,15/6L,"dishes given 3.5mL of diH20, then wrapped in parafilm",4,d-034,20,Blue Germination Paper,NA,15/6,0 Weeks,12/30/2014,2015,Light-12/12,NA,NA,NA,5,0,6,2,12,0.3,0.1
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,15/6L,"dishes given 3.5mL of diH20, then wrapped in parafilm",5,d-035,20,Blue Germination Paper,NA,15/6,0 Weeks,12/30/2014,2015,Light-12/12,NA,NA,NA,1,0,1,2,17,0.05,0.1
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,25/15L,"dishes given 3.5mL of diH20, then wrapped in parafilm",1,d-036,20,Blue Germination Paper,NA,25/15,0 Weeks,12/30/2014,2015,Light-12/12,NA,NA,NA,NA,NA,19,1,0,0.95,0.05
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,25/15L,"dishes given 3.5mL of diH20, then wrapped in parafilm",2,d-037,20,Blue Germination Paper,NA,25/15,0 Weeks,12/30/2014,2015,Light-12/12,NA,NA,NA,NA,NA,17,3,0,0.85,0.15
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,25/15L,"dishes given 3.5mL of diH20, then wrapped in parafilm",3,d-038,20,Blue Germination Paper,NA,25/15,0 Weeks,12/30/2014,2015,Light-12/12,NA,NA,NA,NA,NA,17,3,0,0.85,0.15
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,25/15L,"dishes given 3.5mL of diH20, then wrapped in parafilm",4,d-039,20,Blue Germination Paper,NA,25/15,0 Weeks,12/30/2014,2015,Light-12/12,NA,NA,NA,NA,NA,20,0,0,1,0
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,25/15L,"dishes given 3.5mL of diH20, then wrapped in parafilm",5,d-040,20,Blue Germination Paper,NA,25/15,0 Weeks,12/30/2014,2015,Light-12/12,NA,NA,NA,0,0,18,1,1,0.9,0.05
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,35/20L,"dishes given 3.5mL of diH20, then wrapped in parafilm",1,d-041,20,Blue Germination Paper,NA,35/20,0 Weeks,12/30/2014,2015,Light-12/12,NA,NA,NA,2,0,6,1,13,0.3,0.05
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,35/20L,"dishes given 3.5mL of diH20, then wrapped in parafilm",2,d-042,20,Blue Germination Paper,NA,35/20,0 Weeks,12/30/2014,2015,Light-12/12,NA,NA,NA,1,0,5,0,15,0.25,0
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,35/20L,"dishes given 3.5mL of diH20, then wrapped in parafilm",3,d-043,20,Blue Germination Paper,NA,35/20,0 Weeks,12/30/2014,2015,Light-12/12,NA,NA,NA,1,0,8,1,11,0.4,0.05
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,35/20L,"dishes given 3.5mL of diH20, then wrapped in parafilm",4,d-044,20,Blue Germination Paper,NA,35/20,0 Weeks,12/30/2014,2015,Light-12/12,NA,NA,NA,2,0,4,2,14,0.2,0.1
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,35/20L,"dishes given 3.5mL of diH20, then wrapped in parafilm",5,d-045,20,Blue Germination Paper,NA,35/20,0 Weeks,12/30/2014,2015,Light-12/12,NA,NA,NA,2,0,7,1,12,0.35,0.05
